"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"381782","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Disagree","Agree",580.7836,587.7273,542.5587
"381783","Male","Three or four times  ","Yes","Disagree","Agree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Agree","Agree",414.5583,359.1729,337.9709
"381784","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Some Lessons","Agree","Agree","Agree","Agree",578.9142,555.7297,598.4148
"381785","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,542.382,621.3133,608.9519
"381786","Female","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,497.1257,492.6351,484.4648
"381787","Female","One or two times  ","Yes","Strongly agree","Strongly disagree","Sometimes",NA,"Every Lesson","Strongly disagree","Agree","Strongly disagree","Strongly agree",590.2866,576.0376,526.9862
"381788","Male","None  ","Yes","Strongly agree","Strongly disagree","Never or rarely",NA,"Every Lesson","Strongly agree","Agree","Disagree","Strongly agree",741.8679,630.1502,660.7982
"381789","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,514.2623,549.0311,521.0183
"381790","Female","Three or four times  ","No","Strongly agree",NA,"Often","Never heard of it",NA,NA,NA,NA,NA,489.4142,542.9149,517.2883
"381791","Male","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Disagree","Strongly disagree","Disagree","Disagree",403.8869,391.5715,341.9806
"381792","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,538.5652,559.4988,525.8672
